name,id,episodes,aired,studio,source,rating,score,leto,status,season
Cowboy Bebop,1,26,"Apr 3, 1998 to Apr 24, 1999",Sunrise,Original,R,8.79,1998,Finished Airing,Spring
Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),5,1,"Sep 1, 2001",Bones,Original,R,8.39,2001,Finished Airing,Summer
Trigun,6,26,"Apr 1, 1998 to Sep 30, 1998",Madhouse,Manga,PG-13,8.24,1998,Finished Airing,Spring
Witch Hunter Robin,7,26,"Jul 2, 2002 to Dec 24, 2002",Sunrise,Original,PG-13,7.28,2002,Finished Airing,Summer
Bouken Ou Beet (Beet the Vandel Buster),8,52,"Sep 30, 2004 to Sep 29, 2005",Toei Animation,Manga,PG,6.98,2004,Finished Airing,Summer
Eyeshield 21,15,145,"Apr 6, 2005 to Mar 19, 2008",Gallop,Manga,PG-13,7.96,2005,Finished Airing,Spring
Hachimitsu to Clover (Honey and Clover),16,24,"Apr 15, 2005 to Sep 27, 2005",J.C.Staff,Manga,PG-13,8.07,2005,Finished Airing,Spring
Hungry Heart: Wild Striker,17,52,"Sep 11, 2002 to Sep 10, 2003",Nippon Animation,Manga,PG-13,7.6,2002,Finished Airing,Summer
Initial D Fourth Stage,18,24,"Apr 17, 2004 to Feb 18, 2006",A.C.G.T.,Manga,PG-13,8.16,2004,Finished Airing,Spring
Monster,19,74,"Apr 7, 2004 to Sep 28, 2005",Madhouse,Manga,R+,8.73,2004,Finished Airing,Spring
Naruto,20,220,"Oct 3, 2002 to Feb 8, 2007",Studio Pierrot,Manga,PG-13,7.89,2002,Finished Airing,Fall
One Piece,21,Unknown,"Oct 20, 1999 to ?",Toei Animation,Manga,PG-13,8.49,1999,Curently Airing,Fall
Tennis no Ouji-sama (The Prince of Tennis),22,178,"Oct 10, 2001 to Mar 23, 2005",Trans Arts,Manga,PG-13,7.91,2001,Finished Airing,Fall
Ring ni Kakero 1,23,12,"Oct 6, 2004 to Dec 15, 2004",Toei Animation,Manga,PG,6.38,2004,Finished Airing,Fall
School Rumble,24,26,"Oct 5, 2004 to Mar 29, 2005",Studio Comet,Manga,PG-13,7.95,2004,Finished Airing,Fall
Sunabouzu (Desert Punk),25,24,"Oct 6, 2004 to Mar 30, 2005",Gonzo,Manga,R,7.43,2004,Finished Airing,Fall
Texhnolyze,26,22,"Apr 17, 2003 to Sep 25, 2003",Madhouse,Original,R+,7.76,2003,Finished Airing,Spring
Trinity Blood,27,24,"Apr 29, 2005 to Oct 28, 2005",Gonzo,Light novel,R,7.33,2005,Finished Airing,Spring
Yakitate!! Japan,28,69,"Oct 12, 2004 to Mar 14, 2006",Sunrise,Manga,PG-13,7.96,2004,Finished Airing,Fall
Zipang,29,26,"Oct 8, 2004 to Apr 1, 2005",Studio Deen,Manga,PG-13,7.52,2004,Finished Airing,Fall
Neon Genesis Evangelion,30,26,"Oct 4, 1995 to Mar 27, 1996",Tatsunoko Production,Original,PG-13,8.31,1995,Finished Airing,Fall
Neon Genesis Evangelion: Death & Rebirth,31,1,"Mar 15, 1997",Production I.G,Original,R,7.45,1997,Finished Airing,Winter
Neon Genesis Evangelion: The End of Evangelion,32,1,"Jul 19, 1997",Production I.G,Original,R+,8.51,1997,Finished Airing,Summer
Kenpuu Denki Berserk (Berserk),33,25,"Oct 8, 1997 to Apr 1, 1998",OLM,Manga,R+,8.48,1997,Finished Airing,Fall
Koukaku Kidoutai (Ghost in the Shell),43,1,"Nov 18, 1995",Production I.G,Manga,R+,8.3,1995,Finished Airing,Fall
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44,4,"Feb 20, 1999 to Sep 22, 1999",Studio Deen,Manga,R,8.73,1999,Finished Airing,Winter
